ApplicationDate,Age,AnnualIncome,CreditScore,Experience,LoanAmount,LoanDuration,NumberOfDependents,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,OutstandingAmount,DaysOverdue,CallResponse,DistanceFromBranch,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,EmploymentStatus_Self-Employed,EmploymentStatus_Unemployed,EducationLevel_Bachelor,EducationLevel_Doctorate,EducationLevel_High School,EducationLevel_Master,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Widowed,HomeOwnershipStatus_Other,HomeOwnershipStatus_Own,HomeOwnershipStatus_Rent,LoanPurpose_Debt Consolidation,LoanPurpose_Education,LoanPurpose_Home,LoanPurpose_Other,Outstanding_norm,Days_norm,Credit_norm,Distance_norm,PriorityScore,RecoveryStrategy
2018-01-11,34,33050,635,15,15004,60,0,259,0.3644640151968695,2,2,0.1724459472841453,0,0,20,20,871,2047,16622,64169,2754.1666666666665,0.6735758606562657,4,10031,140,0,38,1767,0.202504,0.1989660983322714,396.65157580374944,0.2380580608062025,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,0.10881922420102463,0.776536312849162,0.80064308681672,0.7551020408163265,28.447063883174224,Priority Call
2018-01-12,34,15000,615,13,45379,96,0,243,0.3663680399126467,2,1,0.258833003449704,0,0,18,2,3773,1681,70338,15981,1250.0,0.5380143190054469,8,20155,163,0,22,54357,0.272879,0.2695669220267429,1156.4530848470224,1.119562467877618,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,0.23231275920956332,0.9050279329608938,0.7363344051446945,0.4285714285714285,34.374594191719446,Field Visit
2018-01-13,42,93076,601,21,18736,24,4,307,0.4691395934293889,0,0,0.3822876661689494,0,0,28,24,1093,1527,162481,2127,7756.333333333333,0.810710195282049,4,5391,28,0,15,160354,0.193236,0.1846155908615248,939.5617260517486,0.1607153370645599,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,0.05222005367162723,0.15083798882681565,0.6913183279742765,0.28571428571428564,9.85293947964787,SMS Reminder
2018-01-14,18,111675,524,0,28309,48,1,239,0.1059329637594712,2,4,0.1055467920316559,0,0,28,3,22576,4389,39922,18799,9306.25,0.7183926818885632,8,17150,87,0,20,21123,0.261309,0.2751263971511669,978.7509230131012,0.1308530206058403,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,0.19565747743352038,0.4804469273743017,0.4437299035369775,0.38775510204081626,25.38237398219746,Regular Call
2018-01-15,19,28623,586,0,62920,60,0,199,0.2259897568393164,3,1,0.3839294198348076,0,1,17,13,6438,1621,29764,45549,2385.25,0.6993643039053736,5,15577,55,0,43,3164,0.27492,0.2819880902601673,1966.619262644176,0.907921292377812,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,0.17646987070017078,0.3016759776536313,0.6430868167202572,0.8571428571428571,35.69084168085762,Field Visit
2018-01-16,33,36717,599,11,15473,60,1,872,0.1537471276006502,6,0,0.098277834200227,0,0,18,22,3006,429,38656,24752,3059.75,0.8006602761733852,4,7595,81,0,44,13904,0.2209729999999999,0.2304772014781893,436.6154882267416,0.427687062088975,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,0.079104659673091,0.446927374301676,0.684887459807074,0.8775510204081631,21.085204651704707,Regular Call
2018-01-17,27,26909,545,5,22796,36,1,287,0.4501032448410716,2,0,0.6764013094775502,0,0,20,6,3804,625,43398,22738,2242.4166666666665,0.8712148336619424,2,5364,23,0,2,20660,0.235296,0.2823552,945.8272958350614,0.5497761919811489,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,0.0518907050500122,0.1229050279329609,0.5112540192926045,0.02040816326530612,9.618847473224875,SMS Reminder
2018-01-18,43,56527,571,25,37312,36,3,132,0.405604511818463,8,1,0.156381351925257,0,0,25,17,2986,1738,195116,16188,4710.583333333333,0.6919461337736426,6,13993,49,0,19,178928,0.236812,0.2015643367154274,1389.6234445798864,0.3230222961586257,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,0.1571480848987558,0.2681564245810056,0.594855305466238,0.36734693877551017,17.306534800702984,SMS Reminder
2018-01-19,29,85723,543,5,35441,36,2,336,0.4782953724763475,1,1,0.1617369428516872,0,0,23,28,8906,1354,16868,51794,7143.583333333333,0.7657420716829259,9,10211,90,1,37,8744,0.248941,0.1991528,1315.5851712065307,0.2311984187963366,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,0.11101488167845816,0.49720670391061456,0.5048231511254018,0.7346938775510203,29.385851924620194,Priority Call
2018-01-20,23,15000,516,3,18696,36,2,229,0.1770276446127876,4,0,0.2113860693135066,0,0,30,23,4176,1052,22005,105402,1250.0,0.6509912137799201,3,10415,123,0,29,9995,0.245696,0.2632034101378118,756.4674652591723,0.7883739722073378,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,0.11350329348621614,0.6815642458100558,0.41800643086816724,0.5714285714285714,29.121283498299068,Priority Call
2018-01-21,57,68155,550,34,17011,36,0,259,0.1309039407131288,3,0,0.5171434674640538,0,0,21,16,1570,688,7386,20134,5679.583333333333,0.7303540814051995,10,6605,6,0,19,1682,0.227011,0.2259546493317987,654.9097708256357,0.1609114114871635,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,0.06702854354720664,0.027932960893854747,0.5273311897106108,0.36734693877551017,9.272603125534012,SMS Reminder
2018-01-22,37,31376,547,14,19602,48,4,575,0.3004523286220007,0,1,0.4438514766768091,0,0,24,23,4214,445,194932,52326,2614.6666666666665,0.8577488218551673,5,4778,55,0,19,142606,0.241102,0.2272754360313615,625.3504762693694,0.4590835579816558,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,0.04474262015125641,0.3016759776536313,0.517684887459807,0.36734693877551017,15.544063865157955,SMS Reminder
2018-01-23,40,49147,547,15,45430,84,0,322,0.3961172672933452,1,2,0.252849921854043,0,0,20,5,2377,5909,81205,61635,4095.5833333333335,0.9661275630156608,7,19921,172,1,29,19570,0.29693,0.3269961915921582,1382.452052848147,0.4161683242960459,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,0.22945840448889973,0.9553072625698323,0.517684887459807,0.5714285714285714,43.44672768145759,Field Visit
2018-01-24,22,55031,572,2,19157,60,2,226,0.0890855213639062,3,2,0.1181235242191206,0,0,28,18,2010,436,17339,10719,4585.916666666667,0.7478259555672432,8,17512,10,0,41,6620,0.238157,0.2422097163235215,553.5677458943187,0.169991694694478,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,0.20007318858258114,0.05027932960893855,0.5980707395498392,0.8163265306122448,15.360104155263729,SMS Reminder
2018-01-25,33,47869,600,15,22903,72,0,504,0.145801995945731,2,4,0.2350378926615911,0,0,30,4,2148,610,48078,9860,3989.0833333333335,0.9430141115139692,5,20015,159,1,12,38218,0.237903,0.2282285210627455,586.7029653780245,0.2734219554312038,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,0.2306050256160039,0.88268156424581,0.6881028938906752,0.22448979591836735,38.22660991531045,Field Visit
2018-01-26,41,38219,543,18,17793,84,0,716,0.263688224080948,2,0,0.5400527572157345,0,0,35,23,2548,1157,93857,70676,3184.9166666666665,0.8418767239445692,2,16125,167,0,26,23181,0.271293,0.2955247107400518,503.41124083753016,0.3828706897106246,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,0.18315442790924616,0.9273743016759777,0.5048231511254018,0.510204081632653,36.181779276086075,Field Visit
2018-01-27,26,36841,536,0,31343,48,0,527,0.3267209585133124,0,1,0.1666586653833421,0,0,23,15,165,1584,108207,11255,3070.083333333333,0.6674090416632434,4,16087,121,1,45,96952,0.258343,0.2777621048233315,1088.3609988003798,0.5261619387531434,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0.18269090021956574,0.6703910614525139,0.48231511254019277,0.8979591836734693,36.90714833586524,Field Visit
2018-01-28,44,70785,575,19,23807,36,2,118,0.2420007361103695,2,2,0.2391625819778954,0,0,22,13,5195,1395,164883,18091,5898.75,0.550531412664266,6,21499,141,1,42,146792,0.221307,0.2357177361160524,928.6720858925067,0.177439641600764,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,0.24870700170773358,0.7821229050279329,0.607717041800643,0.836734693877551,40.12078572831165,Field Visit
2018-01-29,32,57690,519,9,13336,24,2,231,0.3764834086336798,0,2,0.1645973238071734,0,0,22,14,5856,221,11848,34689,4807.5,0.800682272223102,7,12818,26,0,26,8658,0.228836,0.1997214486856601,678.5649650570649,0.1891970806150941,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.14281532080995366,0.13966480446927376,0.427652733118971,0.510204081632653,16.050572813004006,SMS Reminder
2018-01-30,36,52562,618,14,13569,96,0,413,0.391498410293958,3,0,0.2950470214768636,0,0,25,22,1047,1597,172962,9343,4380.166666666667,0.6860634910457355,4,13113,75,0,11,163619,0.239569,0.2198727480541476,301.35302876427903,0.1630880930172243,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,0.14641375945352525,0.4134078212290503,0.7459807073954983,0.2040816326530612,18.288209403642337,SMS Reminder
2018-01-31,32,19983,583,8,8108,24,0,357,0.5827074439077173,4,2,0.0687589065860606,0,0,21,9,625,3369,10988,20008,1665.25,0.905235878993313,7,2427,75,0,19,7662,0.191608,0.1972457779740933,411.5730658069876,0.461536145207619,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0.016064893876555256,0.4134078212290503,0.6334405144694533,0.36734693877551017,16.319471896205933,SMS Reminder
2018-02-01,62,42019,633,41,14535,60,3,342,0.269066561428211,2,0,0.6094701007329897,0,0,22,8,12715,1443,158333,33165,3501.583333333333,0.7720454133499897,6,12482,101,1,3,125168,0.203035,0.2126235435808776,395.3687115534285,0.2105815116647502,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.1387167601854111,0.5586592178770949,0.7942122186495175,0.04081632653061225,25.389942698647594,Regular Call
2018-02-02,39,76471,623,16,32760,48,0,246,0.4358082898194738,4,0,0.5270860754768251,0,0,23,14,25753,8698,141325,3584,6372.583333333333,0.7741840476323656,5,15371,19,0,37,137741,0.21626,0.2466283309968139,1080.076030105914,0.2080908103891798,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0.1739570626982191,0.1005586592178771,0.762057877813505,0.7346938775510203,13.78556897101355,SMS Reminder
2018-02-03,27,38073,555,3,42696,96,0,199,0.1798857842079536,4,3,0.234976336846418,0,0,29,21,2735,4577,655065,25655,3172.75,0.8960275843652453,3,23901,130,1,44,629410,0.300196,0.2829240953686671,1126.9645767469217,0.4179228041121808,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,0.2780068309343742,0.7206703910614525,0.5434083601286173,0.8775510204081631,40.310636205322176,Field Visit
2018-02-04,49,75313,580,24,31032,48,1,1100,0.3573521261827803,4,1,0.0495941941160546,0,0,24,7,9209,789,40144,5894,6276.083333333333,0.5530795629686488,4,22481,153,0,42,34250,0.236032,0.235961599867727,1004.7845345351996,0.3353659317039873,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.26068553305684317,0.8491620111731844,0.6237942122186495,0.836734693877551,36.99534761823617,Field Visit
2018-02-05,25,66152,434,0,29065,72,3,408,0.2470972756116049,2,2,0.2224701646965178,0,1,19,3,2554,653,28554,14541,5512.666666666667,0.7648528681063498,3,23429,130,1,36,14013,0.327065,0.3653682697848351,1000.3791177341352,0.2554805510462211,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,0.27224932910465965,0.7206703910614525,0.15434083601286175,0.7142857142857142,58.212259860976054,Field Visit
2018-02-06,42,88896,592,19,20676,36,0,556,0.3907164676722613,3,0,0.0856211756817096,0,0,33,4,3663,400,80265,19693,7408.0,0.8290495175192765,8,19018,114,1,23,60572,0.209676,0.2067622971602859,775.5368275584556,0.1797430922730096,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,0.21844352281044158,0.6312849162011173,0.662379421221865,0.44897959183673464,32.956532336306196,Priority Call
2018-02-07,18,51659,608,0,32450,36,5,404,0.2482203998059821,0,2,0.1733051083479651,0,0,24,23,1994,1156,70671,2805,4304.916666666667,0.9261729005822792,8,31354,67,0,45,67866,0.21345,0.2169832267534753,1234.2215725567137,0.3805466399016736,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.36891924859721886,0.3687150837988827,0.7138263665594855,0.8979591836734693,27.636986805661124,Priority Call
2018-02-08,24,43909,599,2,25416,60,1,412,0.0914484189711008,4,0,0.0690371476123519,0,0,33,17,6340,1566,548973,15744,3659.0833333333335,0.9194490082535745,6,20739,127,1,22,533229,0.230916,0.2298965219621468,716.337917693401,0.3083662805420485,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,0.23943644791412538,0.7039106145251396,0.684887459807074,0.4285714285714285,35.074841345338655,Field Visit
2018-02-09,42,15000,589,23,54297,120,1,391,0.2406720890039728,2,0,0.1475674672228591,0,0,21,9,4099,3607,14627,5359,1250.0,0.6978533505335964,8,21294,91,0,18,9268,0.314797,0.3327350677484503,1564.2833716101218,1.5642266972880974,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,0.24620639180287873,0.5027932960893854,0.652733118971061,0.346938775510204,25.163386844161405,Regular Call
2018-02-10,48,50840,570,27,20968,48,0,230,0.4510462354573575,4,1,0.158737860828098,0,0,23,23,12209,1091,29182,5330,4236.666666666667,0.7362460727391448,6,12721,70,1,33,23852,0.230968,0.2426342325570574,686.652434110602,0.2163617075005355,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,0.14163210539155893,0.38547486033519557,0.5916398713826365,0.6530612244897959,26.234742078749274,Regular Call
2018-02-11,42,49432,655,20,43109,96,2,189,0.1508652389598113,1,3,0.0854867091689683,0,0,18,25,2147,516,20821,21922,4119.333333333333,0.6363662262690771,4,20543,54,1,28,7617,0.250609,0.210340700800249,931.2641605979684,0.2719527821487219,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,0.23704562088314224,0.29608938547486036,0.864951768488746,0.5510204081632653,23.61918761929464,Regular Call
2018-02-12,38,46651,578,17,34100,72,0,489,0.2402751684713623,4,0,0.1091628332021577,0,0,17,23,4714,3410,92702,62431,3887.5833333333335,0.7622270351064344,1,30419,50,0,9,30271,0.2601,0.2769076850216106,975.6510617928492,0.3767510394528346,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,0.35751402781166136,0.2737430167597765,0.617363344051447,0.16326530612244897,22.21168934344203,Regular Call
2018-02-13,36,46669,585,13,31815,72,2,443,0.1595722811204542,3,1,0.2187340863936904,0,0,27,11,6664,344,37754,48482,3889.0833333333335,0.6666759918814988,5,18969,63,0,35,1856,0.254315,0.2969649365250656,950.911402457077,0.3584164398098293,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,0.2178458160526958,0.3463687150837989,0.639871382636656,0.693877551020408,22.265266287411325,Regular Call
2018-02-14,22,30619,486,1,8056,48,0,644,0.3815858054789254,3,2,0.3648015973534561,0,0,23,21,4743,1743,92664,11308,2551.583333333333,0.8012321081419554,4,7131,98,1,47,81356,0.260056,0.2239880816045447,255.56038197566303,0.3525498737289904,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.07344474262015126,0.541899441340782,0.3215434083601285,0.9387755102040816,32.22927177954321,Priority Call
2018-02-15,31,15000,594,6,35052,48,1,582,0.411646262738942,4,0,0.3899692893204591,0,0,33,1,4223,1374,114021,7071,1250.0,0.8308998222352617,2,34329,42,0,35,106950,0.233052,0.2409750690435053,1144.649847998073,1.3813198783984584,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,0.4052085874603562,0.22905027932960895,0.6688102893890675,0.693877551020408,24.663799468262273,Regular Call
2018-02-16,34,25310,549,11,20666,36,3,269,0.1576173236137763,1,2,0.4078729574398653,0,0,22,27,12849,1241,103901,18376,2109.1666666666665,0.8522811616404843,7,8888,108,0,43,85525,0.2311659999999999,0.2445203661680864,815.6991965321433,0.5142785601890842,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,0.09487679921932178,0.5977653631284916,0.5241157556270095,0.8571428571428571,26.834994784236134,Regular Call
2018-02-17,52,58241,511,30,17641,108,2,710,0.2361742229199439,3,1,0.5806122105054636,0,0,27,12,1062,842,56451,48215,4853.416666666667,0.8458506920877988,4,3940,137,1,21,8236,0.307141,0.2665901240884107,432.18798920520777,0.2353368910297297,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,0.034520614784093684,0.7597765363128491,0.40192926045016075,0.4081632653061224,33.051555573373044,Priority Call
2018-02-18,44,173589,630,22,10493,108,0,591,0.1067668508924842,5,0,0.2089203242385212,0,0,22,28,5412,3698,121184,35299,14465.75,0.8832773336865882,7,3897,82,0,41,85885,0.240493,0.2221591042679269,225.33583580879792,0.0564323201914036,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0.03399609660892901,0.45251396648044695,0.784565916398714,0.8163265306122448,18.56870554935313,SMS Reminder
2018-02-19,18,48287,568,0,21965,60,2,569,0.3350028052346291,3,2,0.5975840662501042,0,0,26,7,1471,1560,71972,8120,4023.9166666666665,0.9016241990842422,1,15634,87,0,47,63852,0.242965,0.2264041061085377,614.6742120219833,0.2941597229950877,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,0.1771651622346914,0.4804469273743017,0.585209003215434,0.9387755102040816,26.167915570264356,Regular Call
2018-02-20,43,58404,594,19,22399,36,2,1242,0.1570458391219648,3,0,0.4267845720570302,0,1,18,26,1260,1710,38103,14389,4867.0,0.6940358330827305,4,18978,80,0,25,23714,0.210399,0.2149715798027759,849.6121906992643,0.4297538916579544,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,0.21795559892656746,0.44134078212290506,0.6688102893890675,0.4897959183673469,38.33306421881571,Field Visit
2018-02-21,35,84613,593,14,11481,36,0,1121,0.3837852503878791,4,1,0.1565369760745354,0,0,27,27,2056,2229,36373,10319,7051.083333333333,0.7077460329091314,4,9170,77,0,39,26054,0.199981,0.1726978557800558,410.8721549700748,0.2172534463928816,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.09831666260063429,0.4245810055865922,0.6655948553054662,0.7755102040816325,20.785627485037335,Regular Call
2018-02-22,31,47732,582,10,10544,120,1,569,0.6291945852937246,2,1,0.2522165953637191,0,0,29,9,4299,272,45889,1414,2233.0,0.4524378988726154,2,8881,33,1,8,44475,0.274544,0.2557073248390514,244.12410796196315,0.3641397706950126,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,0.09479141253964381,0.1787709497206704,0.630225080385852,0.14285714285714285,16.72505102963327,SMS Reminder
2018-02-23,47,70564,623,25,28093,24,0,535,0.2118484487361359,4,1,0.0945572369018897,0,0,19,3,4810,387,263650,65969,5880.333333333333,0.8401945848633354,3,26398,121,1,42,197681,0.191593,0.1985589228206847,1427.8388349551706,0.333797205649652,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.3084654793852159,0.6703910614525139,0.762057877813505,0.836734693877551,37.576835609122035,Field Visit
2018-02-24,52,40846,672,32,34059,72,1,692,0.0306205840120419,7,1,0.1007291612526076,0,0,22,11,2371,511,61866,38625,3403.833333333333,0.6361221225731275,5,12925,6,0,11,23241,0.213059,0.2314093051805254,878.98741155984,0.4615347632257278,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0.14412051719931693,0.027932960893854747,0.919614147909968,0.2040816326530612,6.846206222491504,SMS Reminder
2018-02-25,51,72551,603,30,24225,48,3,301,0.1286311030280663,2,1,0.2520235532750552,0,1,20,21,6764,1194,66460,100275,6045.916666666667,0.926513899390048,6,5814,62,1,39,5845,0.217725,0.2183985244832925,761.1300915135442,0.1756772628656053,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,0.057379848743596,0.34078212290502796,0.697749196141479,0.7755102040816325,37.14100759392695,Field Visit
2018-02-26,29,51326,573,7,39160,48,0,303,0.1388325306523651,3,1,0.2445952263649519,0,0,22,10,7311,479,55316,87149,4277.166666666667,0.9608160580708694,5,18119,14,0,43,9221,0.24766,0.2216237445161844,1237.2326366725458,0.3601058262882466,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.20747743352037082,0.07262569832402235,0.6012861736334405,0.8571428571428571,16.31281801309156,SMS Reminder
2018-02-27,36,67699,632,12,21095,72,0,564,0.3101570125766353,2,0,0.3330522477432101,0,1,31,19,18625,504,21824,26329,5641.583333333333,0.8436799091633125,4,18627,54,1,20,2956,0.220095,0.2140785638245429,522.6465713559603,0.1926137587892217,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,0.2136740668455721,0.29608938547486036,0.7909967845659165,0.38775510204081626,37.84126430678359,Field Visit
2018-02-28,43,38754,589,20,21435,24,0,262,0.4152147157377789,2,1,0.0204743432473281,0,0,28,1,1985,895,11604,61555,3229.5,0.7648838295118142,2,16767,99,0,7,1667,0.201935,0.206026736946327,1097.2727185873125,0.4208926207113523,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,0.1909856062454257,0.547486033519553,0.652733118971061,0.12244897959183673,23.501632733600168,Regular Call
2018-03-01,51,81693,596,28,13925,48,4,542,0.1886663104143912,2,1,0.1258599509277893,0,0,33,14,1412,2924,85208,17161,6807.75,0.9781251307121128,5,3152,97,0,50,68047,0.210925,0.2430318866712446,456.3177285776623,0.1466442993026568,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0.0249085142717736,0.5363128491620112,0.67524115755627,1.0,22.402665081640787,Regular Call
2018-03-02,34,124227,593,10,10095,108,2,436,0.2452582996330175,2,2,0.3551093700805993,0,0,26,8,3342,2864,24340,30594,10352.25,0.9549110175029272,5,3268,123,0,11,10565,0.258595,0.2695810474519656,249.4266035358963,0.0662103990471536,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.026323493535008537,0.6815642458100558,0.6655948553054662,0.2040816326530612,22.193270561512296,Regular Call
